Dont_Be_Inside_Root_Chest
BulletPower,500
BulletSpeed,0.5
Acceleration,0.6f
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
lookDown,20
isOneuse,true
Explosion,2.5f
BlockDestory,true
Texture,R-3
ObjModel,R-3.mqo
ObjTexture,R-3.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,80

BulletNameALL,R-3AAM

Induction_precision,6.5
hasVT,true
VTRange,100
VTWidth,180
damagerange,10
Canlock,true
lock_to_Vehicle,true

NeedFix,true



Tabname,VehicleWeapons
Name,R-3
RR,R-3
