guerrila_cant_use_this
Dont_Be_Inside_Root_Chest
BulletPower,1500
damagerange,100
BulletSpeed,1.5
Acceleration,2f
ReloadTime,-1
RemainingBullet,1
isOneuse,true
Explosion,25f
BlockDestory,true
Texture,Kh-31
ObjModel,Kh-31.mqo
ObjTexture,kh-31.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,200

BulletNameALL,Kh-31AGM

Induction_precision,13
Canlock,true
canlockEntity,false
CanlockBlock,true

NeedFix,true



Tabname,VehicleWeapons
Name,Kh-31
RR,Kh-31
