Dont_Be_Inside_Root_Chest
BulletPower,300
BulletSpeed,0.1
Acceleration,0.8f
resistance,0.93f
ReloadTime,-1
RemainingBullet,1
lookDown,90
isOneuse,true
Explosion,5.5f
BlockDestory,true
Texture,9M335
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,31.4
seekerSize,10
BulletNameALL,S-5

lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true

Induction_precision,6.5
hasVT,true
VTRange,100
VTWidth,180
damagerange,10
Canlock,true
lock_to_Vehicle,true
seekerSize_bullet,15
seekerSize,15

NeedFix,true



Tabname,VehicleWeapons
Name,9M335
RR,9M335
